swarm_name,date,hour,client_count,cpu_utilization,mem_usage,tx_power,utilization
AP-AULAJ05,2025-04-28,10,0.0,7.0,69.6901323706378,16.0,2.0
AP-AULAJ05,2025-04-28,21,0.0,4.0,65.64238265581128,16.0,1.25
AP-AULAJ05,2025-04-28,23,0.0449438202247191,4.056179775280899,66.3974558817944,16.0,1.0
AP-AULAJ06,2025-04-01,14,7.401891252955083,8.681639085894405,67.35823030168656,16.09613869188337,4.252167060677699
AP-AULAJ06,2025-04-15,4,0.0,4.0,67.33504876616949,16.0,1.0
AP-AULAJ06,2025-04-15,20,6.5685814771395075,10.66588511137163,68.64654736919587,16.0,4.645955451348183
AP-AULAJ06,2025-04-28,10,0.0,9.0,69.92746356464767,16.0,2.0
AP-AULAJ06,2025-04-28,21,0.0,4.5,65.24806975808305,16.0,1.25
AP-AULAJ06,2025-04-28,23,0.09411764705882353,4.117647058823529,65.84350296946647,16.0,1.0
AP-AULAJ06,2025-04-29,12,0.5,4.25,65.95751388392708,16.0,1.0
AP-AULAJ07,2025-03-30,3,11.398739164696611,9.249802994483845,67.79656165865931,15.0,4.75886524822695
AP-AULAJ07,2025-04-15,4,0.0,4.0,68.29873646209386,15.0,1.0
AP-AULAJ07,2025-04-15,20,14.421545667447306,13.86182669789227,68.91306861856397,15.0,7.450819672131147
AP-AULAJ07,2025-04-28,10,0.0,12.0,69.40433212996389,15.0,6.0
AP-AULAJ07,2025-04-28,21,0.0,4.0,65.13512819618892,15.0,2.25
AP-AULAJ07,2025-04-28,23,0.5842696629213483,4.112359550561798,65.78612820573402,15.0,1.0
AP-AULAJ08,2025-04-01,14,13.0,11.189913317572891,68.71546773559379,16.454688731284477,7.31678486997636
AP-AULAJ08,2025-04-15,4,0.0,4.0,68.82521058965102,16.0,1.0
AP-AULAJ08,2025-04-15,20,12.928487690504102,13.681125439624854,70.08936387140503,16.0,6.763188745603752
AP-AULAJ08,2025-04-28,10,0.0,8.0,71.17178098676294,16.0,2.0
AP-AULAJ08,2025-04-28,21,0.0,4.5,65.58026047150773,16.0,1.25
AP-AULAJ08,2025-04-28,23,0.21348314606741572,4.168539325842697,65.95740369382585,16.0,1.0
AP-AULAJ09,2025-04-02,9,4.220646178092987,7.123719464144996,66.5542645827372,15.0,2.2624113475177303
AP-AULAJ09,2025-04-15,4,0.0,4.0,66.83024969915763,15.0,1.0
AP-AULAJ09,2025-04-15,20,7.782201405152225,9.655737704918034,67.932723419033,15.0,3.920374707259953
AP-AULAJ09,2025-04-28,10,0.0,7.0,68.68147479609574,15.0,2.0
AP-AULAJ09,2025-04-28,21,0.0,4.0,65.16893134108838,15.0,1.25
AP-AULAJ09,2025-04-28,23,0.14606741573033707,4.179775280898877,65.89520501740078,15.0,1.101123595505618
AP-AULAJ10,2025-04-01,14,8.959022852639874,9.182033096926714,68.32753979229412,15.139479905437351,5.102442868400315
AP-AULAJ10,2025-04-15,4,0.0,5.0,68.69974398184466,16.0,1.0
AP-AULAJ10,2025-04-15,20,8.062133645955452,10.324736225087925,68.86500770124182,15.713950762016413,5.00820633059789
AP-AULAJ10,2025-04-28,10,0.0,29.0,69.1277242946918,16.0,15.0
AP-AULAJ10,2025-04-28,21,0.0,4.0,66.1973937180355,16.0,4.5
AP-AULAJ10,2025-04-28,23,0.011764705882352941,4.011764705882353,66.56927037402029,16.0,1.0
